Source,Destination,Source_Lat,Source_Lon,Dest_Lat,Dest_Lon
LRC,Gate 1,28.51914,77.36536,28.51969,77.36489
LRC,MPH,28.51914,77.36536,28.51972,77.36528
LRC,Gate 2,28.51914,77.36536,28.51861,77.36481
LRC,Main Ground,28.51914,77.36536,28.51917,77.36611
LRC,Football Ground,28.51914,77.36536,28.51778,77.365
LRC,Mess,28.51914,77.36536,28.52,77.36667
LRC,Cafe,28.51914,77.36536,28.51833,77.36556
Gate 1,LRC,28.51969,77.36489,28.51914,77.36536
Gate 1,MPH,28.51969,77.36489,28.51972,77.36528
Gate 1,Gate 2,28.51969,77.36489,28.51861,77.36481
Gate 1,Main Ground,28.51969,77.36489,28.51917,77.36611
Gate 1,Football Ground,28.51969,77.36489,28.51778,77.365
Gate 1,Mess,28.51969,77.36489,28.52,77.36667
Gate 1,Cafe,28.51969,77.36489,28.51833,77.36556
MPH,LRC,28.51972,77.36528,28.51914,77.36536
MPH,Gate 1,28.51972,77.36528,28.51969,77.36489
MPH,Gate 2,28.51972,77.36528,28.51861,77.36481
MPH,Main Ground,28.51972,77.36528,28.51917,77.36611
MPH,Football Ground,28.51972,77.36528,28.51778,77.365
MPH,Mess,28.51972,77.36528,28.52,77.36667
MPH,Cafe,28.51972,77.36528,28.51833,77.36556
Gate 2,LRC,28.51861,77.36481,28.51914,77.36536
Gate 2,Gate 1,28.51861,77.36481,28.51969,77.36489
Gate 2,MPH,28.51861,77.36481,28.51972,77.36528
Gate 2,Main Ground,28.51861,77.36481,28.51917,77.36611
Gate 2,Football Ground,28.51861,77.36481,28.51778,77.365
Gate 2,Mess,28.51861,77.36481,28.52,77.36667
Gate 2,Cafe,28.51861,77.36481,28.51833,77.36556
Main Ground,LRC,28.51917,77.36611,28.51914,77.36536
Main Ground,Gate 1,28.51917,77.36611,28.51969,77.36489
Main Ground,MPH,28.51917,77.36611,28.51972,77.36528
Main Ground,Gate 2,28.51917,77.36611,28.51861,77.36481
Main Ground,Football Ground,28.51917,77.36611,28.51778,77.365
Main Ground,Mess,28.51917,77.36611,28.52,77.36667
Main Ground,Cafe,28.51917,77.36611,28.51833,77.36556
Football Ground,LRC,28.51778,77.365,28.51914,77.36536
Football Ground,Gate 1,28.51778,77.365,28.51969,77.36489
Football Ground,MPH,28.51778,77.365,28.51972,77.36528
Football Ground,Gate 2,28.51778,77.365,28.51861,77.36481
Football Ground,Main Ground,28.51778,77.365,28.51917,77.36611
Football Ground,Mess,28.51778,77.365,28.52,77.36667
Football Ground,Cafe,28.51778,77.365,28.51833,77.36556
Mess,LRC,28.52,77.36667,28.51914,77.36536
Mess,Gate 1,28.52,77.36667,28.51969,77.36489
Mess,MPH,28.52,77.36667,28.51972,77.36528
Mess,Gate 2,28.52,77.36667,28.51861,77.36481
Mess,Main Ground,28.52,77.36667,28.51917,77.36611
Mess,Football Ground,28.52,77.36667,28.51778,77.365
Mess,Cafe,28.52,77.36667,28.51833,77.36556
Cafe,LRC,28.51833,77.36556,28.51914,77.36536
Cafe,Gate 1,28.51833,77.36556,28.51969,77.36489
Cafe,MPH,28.51833,77.36556,28.51972,77.36528
Cafe,Gate 2,28.51833,77.36556,28.51861,77.36481
Cafe,Main Ground,28.51833,77.36556,28.51917,77.36611
Cafe,Football Ground,28.51833,77.36556,28.51778,77.365
Cafe,Mess,28.51833,77.36556,28.52,77.36667
